Caption;schema_caption;text box, i.e. caption;;
Description;dc_description;text area;;
Place;;norm data (place);Geonames;https://www.geonames.org/
Place;dcterms_place;text box;;
Keywords;schema_keywords;text box;;
Person;schema_person;norm data (person);e.g. GND;http://ognd.bsz-bw.de/
Date;dc_temporal;text box;;
Date;dc_date;controlled field (date);;
Vocabularies;Getty_AAT;list with a fixed list of terms, controlled vocabulary;Getty Vocabularies, Art & Architecture Thesaurus;https://www.getty.edu/research/tools/vocabularies/aat/index.html
